imei,grade,type,region,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
358900785518076 - 0,C,Scratch,B1,648,620.0,528.0,468.0,416.0,0.0,0.0,0.0,0.0,0.0,1757.332,710.483,2270.35,527.347,1782.366,619.146,1984.456,541.163,2278.474,946.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358900785518076 - 0,C,Scratch,B2,652,492.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.601,2032.976,2194.466,1467.757,2192.071,1738.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358900785518076 - 0,C,Scratch,B3,780,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140.454,2549.414,2250.537,2466.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358900785518076 - 0,C,Shape,B4,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358900785518076 - 0,C,Shape,B5,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358900785518076 - 0,C,Shape,B6,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358900785518076 - 0,C,Shape,B7,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358900785518076 - 0,C,Shape,B8,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358900785518076 - 0,C,Scratch,B9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357624696101233 - 0,C,Scratch,B1,3884,3308.0,2592.0,1968.0,1712.0,1600.0,1324.0,1168.0,1144.0,1132.0,2036.777,862.37,2189.697,985.129,1939.102,868.541,2150.851,519.799,1849.639,882.288,2275.473,597.435,2141.853,603.144,2180.035,869.165,2114.935,1042.962,1679.365,1163.02
357624696101233 - 0,C,Scratch,B2,7092,3474.0,2817.0,2160.0,1899.0,1674.0,1530.0,1476.0,1332.0,1287.0,1736.58,1780.829,1674.366,1639.875,1675.667,1321.273,1677.582,1362.626,1751.139,1601.356,1800.242,1499.821,1714.932,1425.046,1707.207,1694.866,1796.819,1855.088,1657.622,1962.87
357624696101233 - 0,C,Scratch,B3,3798,3069.0,2880.0,2709.0,2655.0,2628.0,1260.0,1233.0,1206.0,1098.0,2245.628,2521.489,2039.197,2742.808,2157.676,2508.042,2293.508,2393.666,1861.107,2781.831,2175.947,2264.75,1816.041,2115.688,2128.768,2217.675,2127.002,2452.186,2119.581,2844.75
357624696101233 - 0,C,Shape,B4,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357624696101233 - 0,C,Shape,B5,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357624696101233 - 0,C,Shape,B6,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357624696101233 - 0,C,Shape,B7,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357624696101233 - 0,C,Shape,B8,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357624696101233 - 0,C,Scratch,B9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358900787482693,C,Scratch,B1,1412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.205,1000.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358900787482693,C,Scratch,B2,832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2094.821,1283.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358900787482693,C,Scratch,B3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358900787482693,C,Shape,B4,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358900787482693,C,Shape,B5,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358900787482693,C,Shape,B6,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
