type,region,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
Scratch,D1,00002108,00001716,00001080,00000832,00000772,00000768,00000644,00000612,00000556,00000552,+03111.926,+02265.739,+03173.639,+00890.893,+03059.389,+02474.707,+03048.807,+00796.824,+03056.752,+02081.204,+03158.892,+01842.890,+03600.579,+00774.135,+02998.683,+02062.772,+03462.763,+00582.349,+02930.697,+01596.36
Scratch,D2,00001644,00001184,00001076,00000964,00000000,00000000,00000000,00000000,00000000,00000000,+03225.738,+03063.678,+03099.319,+02549.586,+03081.502,+04474.157,+02730.177,+04112.792,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D3,00000948,00000708,00000536,00000464,00000448,00000000,00000000,00000000,00000000,00000000,+02941.761,+05023.583,+03110.052,+05265.202,+03482.948,+05829.076,+03609.775,+05369.729,+03423.284,+05805.961,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D4,00001108,00000880,00000632,00000472,00000000,00000000,00000000,00000000,00000000,00000000,+02159.004,+05307.037,+02326.419,+05892.592,+02372.064,+06118.039,+02233.836,+05369.341,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D5,00001316,00001052,00000808,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00991.050,+05537.758,+01390.812,+04612.507,+00677.116,+05474.307,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D6,00001436,00000868,00000644,00000596,00000528,00000468,00000432,00000404,00000000,00000000,+00454.398,+03766.193,+00516.172,+03798.217,+00847.819,+03001.691,+00560.705,+03913.758,+00746.438,+03250.140,+01217.893,+03474.308,+01186.486,+02867.172,+00485.894,+02688.824,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D7,00001208,00000872,00000792,00000720,00000696,00000576,00000000,00000000,00000000,00000000,+01306.781,+01485.451,+00490.723,+02490.184,+01363.123,+01809.787,+00413.296,+01574.041,+01344.716,+01679.354,+00779.892,+01087.400,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D8,00000912,00000592,00000564,00000536,00000456,00000000,00000000,00000000,00000000,00000000,+02082.082,+02441.297,+01508.533,+01380.758,+02086.846,+01069.905,+02023.936,+02425.942,+01465.491,+00868.638,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D9,00001420,00001064,00000852,00000596,00000488,00000472,00000460,00000428,00000000,00000000,+01869.979,+03936.353,+02418.905,+02676.417,+01528.508,+03120.851,+02466.735,+03711.330,+02346.683,+04534.010,+02405.255,+03281.140,+01645.593,+03685.422,+01814.977,+03765.022,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D10,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Shape,D11,082
Shape,D12,097
Scratch,D13,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Crack,D1,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.00
Crack,D10,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
Crack,D11,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
