type,region,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
Scratch,D1,00007736,00003064,00001940,00001336,00000764,00000596,00000408,00000000,00000000,00000000,+02815.703,+02371.457,+02778.759,+02416.415,+02702.280,+01703.003,+02727.015,+02467.280,+02887.758,+01029.171,+03010.303,+00688.454,+03111.369,+02296.201,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D2,00003108,00002424,00001584,00001332,00001060,00000596,00000588,00000500,00000488,00000456,+02712.326,+02519.640,+02609.058,+03727.426,+02957.859,+02538.051,+02893.621,+03513.385,+02620.764,+02579.043,+02842.892,+04228.686,+02929.579,+02789.429,+02593.457,+04401.439,+02913.925,+03541.954,+02826.100,+04403.58
Scratch,D3,00001236,00000956,00000692,00000640,00000496,00000420,00000000,00000000,00000000,00000000,+03003.441,+06330.298,+02853.221,+06287.490,+03375.129,+06309.563,+02847.126,+05278.272,+03182.530,+05181.647,+02995.105,+06496.879,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D4,00001000,00000912,00000732,00000612,00000000,00000000,00000000,00000000,00000000,00000000,+02080.016,+06162.440,+01502.504,+06490.903,+02038.885,+05900.702,+01681.311,+04937.379,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D5,00002176,00002076,00001172,00000852,00000492,00000428,00000000,00000000,00000000,00000000,+00404.147,+04943.712,+00792.306,+05974.106,+01418.550,+06472.007,+01501.677,+06490.256,+00714.147,+06028.837,+00370.885,+06151.578,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D6,00002272,00000700,00000584,00000568,00000564,00000460,00000000,00000000,00000000,00000000,+01192.603,+04476.466,+01003.831,+04443.506,+01084.253,+02728.715,+01009.175,+04487.182,+00859.361,+03208.529,+00867.702,+04210.507,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D7,00001828,00000680,00000552,00000448,00000000,00000000,00000000,00000000,00000000,00000000,+00871.382,+00601.926,+00811.729,+02133.953,+00877.558,+01916.418,+00789.023,+01524.860,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D8,00000824,00000600,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+01502.604,+01732.662,+02212.427,+01809.500,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D9,00001916,00000756,00000716,00000580,00000572,00000452,00000436,00000408,00000000,00000000,+01607.603,+04371.784,+01846.014,+02899.450,+01740.928,+03681.327,+01910.856,+02695.526,+01816.655,+02903.882,+01520.331,+02827.682,+02024.578,+04245.193,+02137.481,+03596.139,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,D10,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Shape,D11,096
Shape,D12,096
Scratch,D13,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Crack,D1,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.00
Crack,D10,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
Crack,D11,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
