type,region,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
Scratch, D1,00000736,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+02951.957,+02158.584,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000
Scratch, D2,00002288,00000964,00000752,00000680,00000540,00000496,00000000,00000000,00000000,00000000,+03026.870,+02715.053,+02823.826,+02699.283,+03137.755,+02849.384,+03172.014,+02709.101,+03554.518,+02732.541,+03257.250,+02543.922,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000
Scratch, D3,00000452,00000408,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+02950.978,+05761.768,+03356.666,+06075.644,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000
Scratch, D4,00000656,00000436,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+02433.925,+04875.503,+01744.351,+04709.669,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000
Scratch, D5,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000
Scratch, D6,00000980,00000916,00000836,00000680,00000524,00000440,00000000,00000000,00000000,00000000,+01183.447,+02589.082,+00543.592,+02509.516,+01155.903,+02762.343,+01380.289,+02671.951,+01137.528,+02569.669,+01236.382,+02757.934,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000
Scratch, D7,00000544,00000428,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+01255.475,+01075.383,+00492.438,+01465.574,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000
Scratch, D8,00001452,00000904,00000596,00000540,00000476,00000460,00000416,00000000,00000000,00000000,+02420.686,+02457.252,+02406.657,+00661.402,+02434.524,+00674.484,+01840.503,+00700.411,+02059.312,+02415.557,+02469.266,+00648.763,+01837.568,+02485.517,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000
Scratch, D9,00001928,00001908,00000716,00000656,00000472,00000444,00000000,00000000,00000000,00000000,+02243.854,+03027.765,+01969.722,+02783.953,+02177.065,+02963.575,+01818.583,+02979.180,+02237.477,+02532.706,+01719.844,+02630.587,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000
Scratch, D10,00002280,00001040,00000772,00000472,00000468,00000464,00000000,00000000,00000000,00000000,+02320.893,+00552.392,+02390.082,+00611.034,+02307.018,+00610.899,+02236.754,+00611.283,+02376.761,+00585.486,+02073.462,+00561.094,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000
Shape, D11,094
Shape, D12,094
Scratch, D13,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000
Crack, D1,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000
Crack, D10,034,013,000,000,000,000,000,000,000,000,00013824,00000320,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
Crack, D11,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
