type,region,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
Scratch,L1,00003220,00003152,00002776,00002432,00002288,00002252,00002004,00001972,00001924,00001840,+01854.294,+02345.639,+01690.567,+01097.652,+01780.666,+01790.146,+01651.559,+01053.641,+02072.804,+01233.253,+02060.394,+01693.090,+01753.890,+01224.491,+01663.355,+01157.789,+01778.147,+01571.512,+02181.206,+00980.55
Scratch,L2,00003836,00003084,00001884,00001752,00001664,00001332,00001292,00001232,00001212,00001204,+02232.758,+03389.758,+01948.493,+02918.675,+02051.933,+04173.361,+02021.943,+03065.868,+01711.643,+03189.150,+02254.316,+03816.552,+01644.415,+02471.468,+01666.147,+04115.043,+02184.396,+03240.482,+01660.143,+03654.44
Scratch,L3,00007920,00004770,00004599,00003420,00003033,00002880,00002547,00001917,00001746,00001665,+02070.632,+06207.907,+01781.109,+06154.648,+02166.074,+04440.487,+02168.873,+05635.151,+01952.870,+04695.705,+01673.207,+04445.395,+02010.417,+04361.884,+01657.802,+05931.624,+01665.045,+05380.554,+02036.608,+04624.39
Scratch,L4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,L5,00001638,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+01947.410,+02116.281,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,L6,00000764,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+01840.202,+02547.292,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,L7 Left SIM,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,R1,00003332,00002988,00002888,00002328,00002208,00002184,00002016,00001868,00001852,00001804,+02105.278,+00933.445,+02273.274,+00759.564,+02018.678,+01660.301,+01758.763,+01672.001,+02219.659,+00782.150,+01878.814,+01262.930,+02287.246,+01201.722,+01747.608,+00821.432,+01686.614,+00904.092,+01891.772,+01427.06
Scratch,R2,00003248,00002884,00002624,00002508,00002432,00002160,00002116,00002040,00002008,00001984,+02174.563,+03731.737,+01904.809,+02805.488,+01711.821,+02721.669,+02192.025,+04009.704,+02107.386,+02883.678,+01918.226,+03050.596,+02165.519,+03131.007,+02111.786,+03126.782,+02070.104,+04039.023,+01732.546,+03504.88
Scratch,R3,00003624,00003408,00003228,00002924,00002692,00002400,00002048,00001844,00001580,00001464,+01819.128,+05773.703,+01700.144,+05289.729,+02127.387,+05236.810,+01732.930,+04516.226,+01673.100,+05948.819,+01725.867,+04637.691,+02257.460,+05166.974,+02249.624,+04950.408,+01671.653,+05693.500,+02245.335,+06015.15
Scratch,R4,00000121,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+01937.128,+02299.965,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,R5,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
