type,region,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
Scratch,T1,00002684,00001292,00000952,00000688,00000568,00000544,00000448,00000424,00000400,00000000,+01725.757,+00788.969,+01712.253,+01000.404,+01894.787,+00336.091,+02136.314,+00489.883,+02257.208,+00797.707,+02161.446,+00679.541,+02150.547,+00833.374,+02410.647,+00478.459,+01743.410,+00681.309,+00000.000,+00000.00
Scratch,T2,00002956,00001780,00001288,00001248,00000956,00000796,00000740,00000584,00000552,00000512,+01722.201,+01466.585,+01982.244,+01839.444,+01816.734,+01839.896,+01699.679,+01730.816,+01988.587,+01514.189,+01719.914,+01582.763,+01715.823,+01272.305,+02178.631,+01407.465,+01702.481,+01655.265,+01785.957,+01612.28
Scratch,T3,00002984,00000976,00000976,00000716,00000716,00000652,00000648,00000592,00000512,00000508,+02027.571,+02684.682,+01837.090,+02198.209,+01983.108,+02093.485,+01685.377,+02501.510,+02115.709,+02265.376,+02350.141,+02061.782,+01713.380,+01955.453,+02101.646,+02502.540,+01682.372,+02571.796,+01729.062,+02488.88
Scratch,T4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,B1,00003884,00003308,00002592,00001968,00001712,00001600,00001324,00001168,00001144,00001132,+02036.777,+00862.370,+02189.697,+00985.129,+01939.102,+00868.541,+02150.851,+00519.799,+01849.639,+00882.288,+02275.473,+00597.435,+02141.853,+00603.144,+02180.035,+00869.165,+02114.935,+01042.962,+01679.365,+01163.02
Scratch,B2,00007092,00003474,00002817,00002160,00001899,00001674,00001530,00001476,00001332,00001287,+01736.580,+01780.829,+01674.366,+01639.875,+01675.667,+01321.273,+01677.582,+01362.626,+01751.139,+01601.356,+01800.242,+01499.821,+01714.932,+01425.046,+01707.207,+01694.866,+01796.819,+01855.088,+01657.622,+01962.87
Scratch,B3,00003798,00003069,00002880,00002709,00002655,00002628,00001260,00001233,00001206,00001098,+02245.628,+02521.489,+02039.197,+02742.808,+02157.676,+02508.042,+02293.508,+02393.666,+01861.107,+02781.831,+02175.947,+02264.750,+01816.041,+02115.688,+02128.768,+02217.675,+02127.002,+02452.186,+02119.581,+02844.75
Shape,B4,095
Shape,B5,056
Shape,B6,069
Shape,B7,067
Shape,B8,093
Scratch,B9,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
