type,region,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
Scratch,T1,00002364,00002120,00001924,00001644,00001356,00001216,00001036,00000972,00000952,00000916,+02156.870,+00396.594,+02369.083,+00767.814,+01734.265,+00747.679,+01963.916,+00750.266,+02237.926,+00890.629,+01850.156,+00604.648,+02400.794,+00479.217,+01867.877,+00537.296,+01885.308,+00351.038,+02054.353,+00370.66
Scratch,T2,00001484,00000820,00000600,00000528,00000512,00000000,00000000,00000000,00000000,00000000,+01984.638,+01180.366,+02182.132,+01137.385,+01734.095,+01255.256,+02240.834,+01126.566,+01943.946,+01490.310,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,T3,00003544,00001000,00000556,00000540,00000480,00000000,00000000,00000000,00000000,00000000,+02074.092,+02663.703,+01699.166,+02620.204,+02056.747,+02486.288,+01742.420,+01890.395,+01719.427,+02017.939,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,T4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,B1,00003544,00001728,00001060,00000860,00000836,00000820,00000776,00000756,00000656,00000632,+01955.539,+00888.126,+01658.128,+00594.207,+01735.844,+00736.637,+02075.813,+01243.459,+01715.713,+00558.197,+02311.051,+01155.463,+02224.035,+01224.849,+02004.023,+00923.988,+02072.823,+01164.578,+01763.355,+00603.28
Scratch,B2,00007551,00004266,00002529,00001854,00001782,00001566,00001521,00001332,00001206,00001179,+02214.411,+01858.253,+02173.035,+01550.760,+01823.301,+01431.172,+02205.535,+02058.807,+02270.407,+01624.857,+02278.433,+01355.930,+01913.232,+02052.169,+01860.690,+01934.746,+01852.980,+01977.855,+01872.241,+01347.31
Scratch,B3,00003510,00001431,00001413,00000900,00000000,00000000,00000000,00000000,00000000,00000000,+02257.569,+02857.033,+01706.149,+02157.783,+01756.468,+02485.358,+01759.436,+02345.413,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Shape,B4,094
Shape,B5,069
Shape,B6,062
Shape,B7,075
Shape,B8,094
Scratch,B9,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
