Back
Scratch, H1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H2,00000524,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+01464.007,+03214.610,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H3,00001968,00001224,00001088,00000800,00000532,00000484,00000000,00000000,00000000,00000000,+00664.107,+05966.611,+00618.532,+05275.782,+00511.967,+05603.422,+01093.999,+06323.382,+00703.883,+06321.591,+00874.259,+06211.884,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H4,00001020,00000880,00000868,00000856,00000836,00000552,00000496,00000452,00000400,00000000,+01597.760,+06218.759,+02621.272,+06409.012,+02229.746,+06201.089,+02462.949,+06512.887,+01904.851,+04887.025,+01980.139,+06252.533,+02361.502,+06127.664,+02042.547,+06392.953,+01960.645,+06286.695,+00000.000,+00000.000,
Scratch, H5,00002380,00001580,00000968,00000964,00000852,00000768,00000696,00000640,00000508,00000444,+03157.490,+05942.753,+03227.334,+05298.199,+03102.318,+05238.426,+03754.863,+05130.014,+02621.332,+06408.285,+03745.529,+04956.027,+02785.728,+06504.917,+03093.758,+06163.988,+02791.730,+06459.498,+02707.262,+06190.822,
Scratch, H6,00000484,00000480,00000408,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+02580.707,+03823.033,+03589.967,+03652.150,+03741.916,+02729.862,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H7,00000956,00000564,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+02713.346,+01948.091,+03236.166,+01928.553,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H8,00005728,00002352,00001856,00001800,00001668,00001140,00000924,00000880,00000728,00000716,+01777.173,+01257.102,+01768.365,+01172.357,+01907.175,+00351.323,+02289.763,+01889.980,+02482.426,+01942.386,+01910.839,+01796.490,+01983.448,+01778.061,+01771.016,+00627.802,+02228.397,+01868.294,+01797.704,+01086.504,
Scratch, H9,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Shape, H10 cam1,90.195,
Shape, H11 cam2,083,
Shape, H12 cam3,086,
Shape, H13 Flash,94.509,
Shape, H14 mic,92.156,
Shape, H15 Logo,91.372,
Scratch, H15 Logo,00001644,00001384,00001096,00001056,00000960,00000944,00000848,00000764,00000764,00000764,+02190.122,+03302.217,+02318.433,+03527.729,+02391.184,+03449.364,+02322.575,+03326.316,+01944.675,+03603.035,+01973.755,+03505.014,+02361.723,+03552.475,+02237.792,+03377.725,+02323.000,+03362.601,+02286.555,+03433.077,
Shape, H16 Script,00.000,
Shape, H17 Lidar,00.000,
Scratch, H18 cam area,00004240,00001200,00001072,00001008,00000848,00000480,00000448,00000288,00000272,00000192,+03470.078,+01016.030,+02872.321,+00512.046,+02581.379,+01449.729,+03067.310,+01056.414,+02866.697,+00454.219,+02404.161,+01453.779,+02278.532,+00664.731,+02794.961,+01332.223,+02473.902,+01460.563,+02222.961,+01358.446,
OCR, H1,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H2,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H3,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H4,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H5,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H6,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H7,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H8,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H9,          ,99,99,99,99,99,99,99,99,99,99,
Crack, H1,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,
Crack, H10,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, H11,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, All Edges,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, Camera Edges,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, H12,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, H18,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
data_end
