type,region,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
Scratch,L1,00003260,00003040,00001832,00001568,00001360,00001212,00001208,00001120,00001048,00000936,+01863.551,+00639.762,+02154.820,+01394.919,+01767.486,+01458.733,+01769.930,+01522.922,+01835.935,+00955.743,+01880.220,+01092.800,+02051.657,+01334.863,+01828.390,+01658.578,+01805.972,+01721.508,+01873.038,+01202.26
Scratch,L2,00003500,00003036,00001956,00001692,00001624,00001548,00001456,00001372,00001320,00001132,+02129.769,+03369.827,+02202.515,+03292.776,+01688.492,+03482.999,+02196.557,+03175.794,+02115.699,+03570.258,+01751.120,+03337.516,+01643.480,+03511.220,+01699.195,+03563.715,+02102.939,+04213.505,+01752.296,+03507.80
Scratch,L3,00005787,00002844,00002547,00001881,00001872,00001089,00000972,00000963,00000936,00000000,+02168.159,+04357.417,+02051.512,+04346.085,+02088.229,+04447.620,+02191.087,+04956.567,+01740.671,+05001.707,+02171.601,+05874.400,+02211.999,+04404.724,+01759.499,+04596.678,+02141.197,+04460.420,+00000.000,+00000.00
Scratch,L4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,L5,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,L6,00003848,00000620,00000544,00000428,00000000,00000000,00000000,00000000,00000000,00000000,+01954.367,+02477.926,+01901.720,+02550.575,+01886.473,+02520.586,+01884.017,+02452.361,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,L7 Left SIM,00004662,00002619,00001359,00001269,00001188,00001035,00000963,00000000,00000000,00000000,+01985.408,+03401.220,+01932.039,+03327.070,+01846.834,+03333.945,+02032.561,+03312.990,+01845.348,+03437.544,+01925.398,+03248.444,+01906.034,+03214.004,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,R1,00001068,00001048,00000984,00000940,00000820,00000744,00000716,00000688,00000684,00000648,+02258.672,+01476.072,+02191.342,+01481.932,+02152.075,+00994.238,+02129.126,+01175.644,+02058.376,+01443.072,+01775.581,+00346.208,+02005.550,+01499.754,+02186.454,+01227.598,+01944.604,+01106.299,+02112.099,+00938.22
Scratch,R2,00003160,00002832,00002456,00001952,00001884,00001744,00001728,00001720,00001640,00001464,+01713.230,+03303.761,+01730.812,+03062.857,+01787.621,+03621.334,+01789.851,+02934.288,+02258.878,+03095.981,+01880.372,+02979.490,+02169.745,+02845.955,+01690.582,+03434.845,+01754.130,+03016.756,+01721.046,+03602.75
Scratch,R3,00000768,00000676,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+02115.851,+04235.307,+01770.208,+04852.338,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,R4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
Scratch,R5,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.00
