SCANNED ID,MODEL,COLOR,Front Value,Front Grade,front manual,Back Value,Back Grade,back manual,Left Value,Left Grade,left manual,Right Value,Right Grade,right manual,Top Value,Top Grade,top manual,Bottom Value,Bottom Grade,bottom manual,Final Value,Final Grade
351884703360489,iPhone 13 Pro Max,GOLD,2690,C,D,60,B,A,75,C,C,70,B,B,45,B,A,75,C,C,3015,C
351884704960014,iPhone 13 Pro Max,Silver,80,B,A,65,B,A,80,C,C,80,C,C,75,C,C,75,C,C,455,C
351884704960014,iPhone 13 Pro Max,Silver,40,B,A,65,B,A,80,C,C,80,C,C,45,B,C,75,C,C,385,C
351884707400653,iPhone 13 Pro Max,GRAPHITE,4125,C,D,405,C,C,80,C,D,60,B,D,75,C,C,80,C,C,4825,C
351884709167516,iPhone 13 Pro Max,Green,5630,C,D,65,B,B,75,C,C,75,C,C,75,C,C,50,B,C,5970,C
351884709898813,iPhone 13 Pro Max,GOLD,660,C,C,55,B,A,80,C,C,80,C,C,75,C,A,65,B,C,1015,C
351999627145178,iPhone 13 Pro Max,GOLD,4630,C,D,105,B,C,85,C,C,80,C,B,30,B,B,75,C,C,5005,C
351999628956003,iPhone 13 Pro Max,Blue,2070,C,A,530,C,A,85,C,B,80,C,A,75,C,A,75,C,C,2915,C
351999629132133,iPhone 13 Pro Max,Blue,5650,C,D,40,B,B,80,C,C,80,C,C,55,B,C,75,C,C,5980,C
352990483035255,iPhone 13 Pro Max,GOLD,295,C,A,60,B,B,85,C,C,80,C,C,65,B,C,65,B,D,650,C
352990484110511,iPhone 13 Pro Max,GRAPHITE,5630,C,D,50,B,B,80,C,D,80,C,D,75,C,D,75,C,D,5990,C
352990486160415,iPhone 13 Pro Max,Green,260,C,C,75,B,B,90,C,C,80,C,C,75,C,C,50,B,C,630,C
352990486410638,iPhone 13 Pro Max,Green,1980,C,D,980,C,C,80,C,C,80,C,C,75,C,C,50,B,C,3245,C
352990486626241,iPhone 13 Pro Max,Green,1350,C,D,440,C,C,85,C,C,80,C,C,75,C,C,50,B,C,2080,C
352990488930492,iPhone 13 Pro Max,Green,125,B,D,230,C,C,80,C,C,80,C,C,75,C,C,55,B,C,645,C
352990489271854,iPhone 13 Pro Max,GRAPHITE,1540,C,C,60,B,A,90,C,B,80,C,D,75,C,D,55,B,C,1900,C
355918200700940,iPhone 13 Pro Max,GRAPHITE,3925,C,D,55,B,A,80,C,B,80,C,B,75,C,A,75,C,C,4290,C
355918200933459,iPhone 13 Pro Max,Blue,5625,C,D,55,B,B,0,A,D,45,B,D,5,A,D,5,A,D,5735,C
355980282645096,iPhone 13 Pro Max,Blue,40,B,C,910,C,C,75,C,C,70,B,C,40,B,C,75,C,C,1210,C
355980282645096,iPhone 13 Pro Max,Blue,35,B,C,720,C,C,75,C,C,70,B,C,65,B,C,75,C,C,1040,C
355980284165333,iPhone 13 Pro Max,Green,430,C,D,65,B,B,85,C,C,75,C,C,75,C,C,5,A,C,735,C
355980284850207,iPhone 13 Pro Max,Blue,2025,C,D,65,B,A,80,C,C,80,C,C,20,A,B,55,B,C,2325,C
355980284903758,iPhone 13 Pro Max,GRAPHITE,730,C,D,930,C,C,75,C,C,75,C,C,75,C,C,75,C,C,1960,C
