imei,grade,type,region,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
352990483035255,A,Scratch,D1,2824.0,2640.0,2396.0,788.0,536.0,0.0,0.0,0.0,0.0,0.0,3307.683,938.176,3546.799,1138.572,3468.138,2475.846,3305.674,491.517,2834.4,795.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352990483035255,A,Scratch,D2,924.0,920.0,592.0,420.0,400.0,0.0,0.0,0.0,0.0,0.0,3613.867,4450.454,3597.641,4466.494,3474.637,2777.47,3474.348,2711.605,2986.972,2546.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352990483035255,A,Scratch,D3,5744.0,2480.0,1640.0,592.0,544.0,536.0,460.0,428.0,0.0,0.0,3028.572,6411.371,3270.079,6104.137,2739.945,6403.465,3284.305,6054.671,3611.937,4658.593,2729.162,6317.504,2960.584,6115.466,3596.923,4630.249,0.0,0.0,0.0,0.0
352990483035255,A,Scratch,D4,876.0,596.0,568.0,544.0,516.0,0.0,0.0,0.0,0.0,0.0,1496.113,5691.782,2109.802,6111.451,1778.791,5194.777,1485.727,5665.142,2076.775,6088.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352990483035255,A,Scratch,D5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352990483035255,A,Scratch,D6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352990483035255,A,Scratch,D7,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.129,1801.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352990483035255,A,Scratch,D8,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2332.066,2160.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352990483035255,A,Scratch,D9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352990483035255,A,Scratch,D10,1268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.515,436.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352990483035255,A,Shape,D11,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352990483035255,A,Shape,D12,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352990483035255,A,Scratch,D13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352990483035255,A,Crack,D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352990483035255,A,Crack,D10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
352990483035255,A,Crack,D11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
359646704194817,A,Scratch,D1,1732.0,1112.0,844.0,808.0,592.0,552.0,548.0,536.0,428.0,0.0,3175.35,1933.839,3379.249,949.637,3421.447,897.361,3587.408,1013.757,3378.12,880.351,3413.001,931.349,3327.905,456.145,3487.177,1094.043,3403.567,872.314,0.0,0.0
359646704194817,A,Scratch,D2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359646704194817,A,Scratch,D3,4044.0,3360.0,2584.0,2416.0,1964.0,1148.0,944.0,872.0,852.0,796.0,2894.854,6289.407,2709.714,6218.769,2921.692,6090.796,2645.579,6321.405,3517.35,5805.044,2854.012,6028.778,2706.174,6027.728,3223.313,6081.589,2709.833,6270.845,2707.91,6047.05
359646704194817,A,Scratch,D4,3400.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961.435,6177.477,2313.068,6263.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359646704194817,A,Scratch,D5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359646704194817,A,Scratch,D6,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.988,3015.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359646704194817,A,Scratch,D7,924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.847,425.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359646704194817,A,Scratch,D8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359646704194817,A,Scratch,D9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
