imei,front,back,left,right,top,bottom
352990488930492,D,C,C,C,C,C
351884709167516,D,B,C,C,C,C
352990486410638,D,C,C,C,C,C
355980284165333,D,B,C,C,C,C
352990486626241,D,C,C,C,C,C
359577626795300,A,B,C,C,C,C
352990486160415,C,B,C,C,C,C
359577626730406,D,C,C,C,C,C
358900784576273,B,C,C,D,C,C
359577624330886,B,C,D,D,C,C
351999629132133,D,B,C,C,C,C
355918200933459,D,B,D,D,D,D
358900785405134,A,B,C,D,C,C
359577628858254,D,B,C,C,C,C
358900786611680,C,D,C,C,C,C
357624698357403,C,C,C,C,C,C
355980284850207,D,A,C,C,B,C
351999628956003,A,A,B,A,A,C
355980285854497,D,A,C,C,C,C
358900785475228,C,C,C,C,D,C
355980282645096,C,C,C,C,C,C
351884704960014,A,A,C,C,C,C
358900789917340,D,D,C,C,C,C
358900783354714,C,B,C,C,C,C
358900785518076,C,C,C,C,C,C
352990483035255,A,B,C,C,C,D
351884709746988,D,D,C,C,C,C
355980288263779,D,B,B,B,B,C
351999627145178,D,C,C,B,B,C
358900787482693,D,A,C,B,A,C
359646709836321,D,C,C,C,C,C
357624698426992,B,C,C,C,C,C
351884703360489,D,A,C,B,A,C
359339134731131,B,C,C,C,C,C
351884709898813,C,A,C,C,A,C
357624694644143,C,C,C,C,C,C
358805900034513,A,A,C,C,C,C
359646704194817,A,D,C,C,C,D
355980284903758,D,C,C,C,C,C
359577622235814,A,B,C,C,C,C
351884707400653,D,C,D,D,C,C
355918200700940,D,A,B,B,A,C
357624696101233,A,C,C,C,C,C
355980287734416,C,A,C,C,C,C
355980287126217,C,A,B,B,A,C
358900787165736,A,A,C,C,C,C
358900783168288,C,C,C,C,D,C
352990484110511,D,B,D,D,D,D
352990489271854,C,A,B,D,D,C
359646704867784,A,C,B,B,C,C
359339137292289,A,B,D,D,D,D
