imei,grade,lscount,dscount
351884703360489,A,8,0
358900787482693,A,13,0
351884709898813,A,14,0
355918200700940,A,4,0
355980287126217,A,18,0
351999628956003,A,2,22
355980284850207,A,5,0
355980285854497,A,1,1
355980287734416,A,21,0
358805900034513,A,6,0
352990489271854,A,8,0
352990483035255,B,19,1
352990484110511,B,14,0
355918200933459,B,9,37
355980288263779,B,3,0
351884709167516,B,9,0
351999629132133,B,4,0
355980284165333,B,11,0
359577628858254,B,22,1
352990486160415,B,16,0
358900783354714,B,6,1
358900785405134,B,28,30
359577626795300,B,20,0
351999627145178,C,12,1
351884707400653,C,23,0
359577624330886,C,6,0
352990486410638,C,78,0
352990486626241,C,22,0
352990488930492,C,15,0
355980284903758,C,31,0
359646709836321,C,25,0
357624698357403,C,26,22
357624698426992,C,16,20
358900784576273,C,20,22
359646704867784,C,38,0
358900783168288,C,23,0
359646704194817,D,62,0
358900789917340,D,21,22
358900786611680,D,2,0
