imei,grade,lscount,dscount
358900785518076 - 0,C,1,0
357624696101233 - 0,C,29,1
358900787482693,C,2,0
351884703360489,C,10,0
351884709898813,C,7,0
355918200700940,C,15,1
355980287126217,C,25,1
351999628956003,C,11,0
355980284850207,C,27,0
351884707400653,C,22,0
359577624330886,C,17,0
355980285854497,C,9,0
355980287734416,C,14,0
358805900034513,C,15,1
351884704960014,C,19,0
359577628858254,C,17,0
351884709167516,C,15,3
351999629132133,C,26,0
355980284165333,C,10,0
358900783354714,C,23,0
358900785405134,C,15,0
359577622235814,C,24,3
359577626795300,C,15,3
359646709836321,C,18,0
352990486410638,C,16,4
352990486626241,C,19,0
352990488930492,C,19,1
357624698426992,C,29,0
358900784576273,C,25,0
358900789917340,C,14,0
351884709746988,C,14,0
359646704867784,C,25,4
358900783168288,C,21,1
358900785475228,C,30,0
352990489271854,C,21,1
352990483035255,D,18,0
359646704194817,D,29,1
352990484110511,D,26,2
355918200933459,D,25,0
