imei,grade,lscount,dscount
359646704194817,A,0,0
358805900034513,A,0,0
358900785405134,A,0,0
359646704867784,A,0,0
359577626795300,A,0,0
359577622235814,A,0,0
357624696101233,A,0,0
352990483035255,A,0,0
351999628956003,A,0,0
351884704960014,A,0,0
358900784576273,B,1,0
357624698426992,B,1,0
359577624330886,B,10,2
358900786611680,C,4,0
358900783354714,C,2,1
358900783168288,C,7,2
351884709898813,C,6,0
352990489271854,C,27,3
352990484110511,D,3,90
355918200933459,D,72,7
351884703360489,D,38,6
358900787482693,D,50,20
355918200700940,D,45,6
355980284850207,D,23,8
351999627145178,D,59,9
355980288263779,D,20,2
351884707400653,D,67,9
355980285854497,D,17,3
351884709167516,D,53,37
351999629132133,D,48,45
355980284165333,D,19,3
352990486410638,D,34,11
352990486626241,D,23,3
352990488930492,D,14,1
355980284903758,D,38,4
359646709836321,D,66,22
351884709746988,D,36,6
358900789917340,D,45,45
