imei,grade,lscount,dscount
355918200700940,B,22,2
355980287126217,B,22,0
351999628956003,B,29,3
359646704867784,B,27,0
352990489271854,B,27,0
358900785518076 - 0,C,37,0
357624696101233 - 0,C,27,1
352990483035255,C,26,0
359646704194817,C,31,1
358900787482693,C,16,0
351884703360489,C,24,0
351884709898813,C,17,0
355980284850207,C,15,0
355980285854497,C,7,0
355980287734416,C,26,1
358805900034513,C,26,2
351884704960014,C,35,2
359577628858254,C,24,1
351884709167516,C,26,2
351999629132133,C,31,1
355980284165333,C,32,4
358900783354714,C,36,0
358900785405134,C,30,0
359577622235814,C,33,2
359577626795300,C,34,0
359646709836321,C,32,0
352990486410638,C,33,0
352990486626241,C,32,2
352990488930492,C,35,3
357624698426992,C,30,3
358900784576273,C,10,0
358900789917340,C,33,0
351884709746988,C,34,0
358900783168288,C,32,0
358900785475228,C,37,0
352990484110511,D,29,6
355918200933459,D,39,1
351884707400653,D,34,1
359577624330886,D,36,3
