imei,grade,lscount,dscount
351999628956003,A,31,0
351884703360489,B,22,0
358900787482693,B,30,0
355918200700940,B,25,0
355980287126217,B,24,0
351999627145178,B,20,0
355980288263779,B,30,0
359646704867784,B,30,0
352990483035255,C,26,0
359646704194817,C,31,0
351884709898813,C,33,0
355980284850207,C,14,0
355980285854497,C,26,0
355980287734416,C,29,0
358805900034513,C,30,0
351884709167516,C,25,0
351999629132133,C,37,0
355980284165333,C,31,0
359577628858254,C,11,0
352990486160415,C,32,0
358900783354714,C,34,0
359577626795300,C,34,0
352990486410638,C,31,0
352990486626241,C,35,0
352990488930492,C,34,0
355980284903758,C,30,0
359646709836321,C,30,0
357624698357403,C,33,0
357624698426992,C,32,0
358900789917340,C,22,0
358900786611680,C,34,0
358900783168288,C,17,0
352990484110511,D,30,0
355918200933459,D,33,0
351884707400653,D,21,0
359577624330886,D,28,0
358900785405134,D,23,0
358900784576273,D,35,0
352990489271854,D,30,0
