imei,grade,lscount,dscount
351884709898813,A,4,3
351884703360489,A,0,0
358900787482693,A,0,0
355918200700940,A,0,0
351999628956003,A,4,0
355980284850207,B,4,0
351999627145178,B,5,0
355980288263779,B,0,0
358900786611680,C,6,0
358900783354714,C,4,0
358900785405134,C,1,0
358900784576273,C,1,0
357624698426992,C,7,0
359646704867784,C,0,0
359577626795300,C,5,1
359577622235814,C,0,0
357624696101233,C,0,0
352990483035255,C,0,0
359646704194817,C,0,0
351884707400653,C,0,0
359577624330886,C,1,0
355980285854497,C,2,0
351884704960014,C,0,0
358805900034513,C,1,0
351884709167516,C,4,1
351999629132133,C,0,0
355980284165333,C,1,0
352990486410638,C,1,0
352990486626241,C,6,1
352990488930492,C,0,0
355980284903758,C,1,0
359646709836321,C,0,0
351884709746988,C,0,0
358900789917340,C,1,0
358900783168288,D,1,0
352990484110511,D,7,0
355918200933459,D,1,0
352990489271854,D,0,0
