SCANNED ID,MODEL,COLOR,Front Value,Front Grade,Back Value,Back Grade,Left Value,Left Grade,Right Value,Right Grade,Top Value,Top Grade,Bottom Value,Bottom Grade,Final Value,Final Grade
351884703360489,iPhone 13 Pro Max,GOLD,1500,D,75,B,75,C,55,B,35,B,55,B,1795,D
351884704960014,iPhone 13 Pro Max,Silver,85,B,65,B,80,C,80,C,55,B,75,C,440,C
351884707400653,iPhone 13 Pro Max,GRAPHITE,4025,D,290,D,80,C,75,C,75,C,80,C,4625,D
351884709167516,iPhone 13 Pro Max,Green,5630,D,65,B,75,C,75,C,75,C,50,B,5970,D
351884709746988,iPhone 13 Pro Max,GOLD,2105,D,95,B,80,C,80,C,35,B,75,C,2470,D
351884709898813,iPhone 13 Pro Max,GOLD,140,B,60,B,75,C,80,C,45,B,65,B,465,C
351999628956003,iPhone 13 Pro Max,Blue,650,D,35,B,75,C,80,C,75,C,75,C,990,D
351999629132133,iPhone 13 Pro Max,Blue,5650,D,40,B,80,C,80,C,40,B,75,C,5965,D
351999629132133,iPhone 13 Pro Max,Blue,5650,D,40,B,75,C,80,C,10,A,75,C,5930,D
352990483035255,iPhone 13 Pro Max,GOLD,35,B,65,B,80,C,80,C,55,B,75,C,390,C
352990484110511,iPhone 13 Pro Max,GRAPHITE,5625,D,55,B,80,C,80,C,75,C,75,C,5990,D
352990486410638,iPhone 13 Pro Max,Green,2570,D,960,D,80,C,75,C,75,C,50,B,3810,D
352990486626241,iPhone 13 Pro Max,Green,925,D,440,D,85,C,80,C,75,C,50,B,1655,D
352990488930492,iPhone 13 Pro Max,Green,25,A,175,B,80,C,75,C,75,C,50,B,480,C
352990489271854,iPhone 13 Pro Max,GRAPHITE,1065,D,40,B,70,B,75,C,75,C,65,B,1390,D
355918200700940,iPhone 13 Pro Max,GRAPHITE,2925,D,60,B,80,C,75,C,75,C,65,B,3280,D
355918200933459,iPhone 13 Pro Max,Blue,5130,D,410,D,85,C,80,C,75,C,75,C,5855,D
355980284165333,iPhone 13 Pro Max,Green,205,C,65,B,85,C,80,C,75,C,25,B,535,C
355980284850207,iPhone 13 Pro Max,Blue,2790,D,55,B,55,B,40,B,25,B,75,C,3040,D
355980285854497,iPhone 13 Pro Max,Blue,285,D,35,B,65,B,65,B,75,C,65,B,590,D
355980287126217,iPhone 13 Pro Max,GRAPHITE,55,B,95,B,60,B,80,C,75,C,75,C,440,C
355980287734416,iPhone 13 Pro Max,GRAPHITE,60,B,95,B,80,C,80,C,75,C,55,B,445,C
357624696101233,iPhone 13 Pro Max,GRAPHITE,25,A,730,D,80,C,75,C,75,C,80,C,1065,D
357624696101233,iPhone 13 Pro Max,GRAPHITE,10,A,610,D,75,C,75,C,75,C,80,C,925,D
357624698426992,iPhone 13 Pro Max,GOLD,60,B,490,D,80,C,80,C,75,C,75,C,860,D
358805900034513,iPhone 13 Pro Max,GRAPHITE,20,A,55,B,80,C,80,C,75,C,65,B,375,C
358900783168288,iPhone 13 Pro Max,GRAPHITE,135,B,340,D,75,C,75,C,75,C,65,B,765,D
358900783354714,iPhone 13 Pro Max,GOLD,645,D,80,B,80,C,80,C,75,C,75,C,1035,D
358900784576273,iPhone 13 Pro Max,Blue,35,B,80,B,30,B,80,C,20,A,75,C,320,C
358900785405134,iPhone 13 Pro Max,Blue,10,A,40,B,90,C,80,C,55,B,80,C,355,C
358900785475228,iPhone 13 Pro Max,Blue,90,B,105,B,85,C,75,C,65,B,75,C,495,C
358900785518076,iPhone 13 Pro Max,GOLD,90,B,575,D,75,C,65,B,65,B,15,A,885,D
358900785518076,iPhone 13 Pro Max,GOLD,40,B,570,D,75,C,55,B,65,B,15,A,820,D
358900787482693,iPhone 13 Pro Max,GOLD,2930,D,60,B,80,C,80,C,65,B,10,A,3225,D
358900789917340,iPhone 13 Pro Max,Silver,5125,D,435,D,85,C,55,B,45,B,55,B,5800,D
359577622235814,iPhone 13 Pro Max,GRAPHITE,1485,D,90,B,80,C,75,C,75,C,75,C,1880,D
359577624330886,iPhone 13 Pro Max,Blue,710,D,60,B,85,C,80,C,75,C,75,C,1085,D
359577626795300,iPhone 13 Pro Max,Green,55,B,65,B,85,C,80,C,75,C,50,B,410,C
359577628858254,iPhone 13 Pro Max,Blue,3425,D,795,D,80,C,75,C,30,B,75,C,4480,D
359646704194817,iPhone 13 Pro Max,GRAPHITE,635,D,855,D,85,C,75,C,55,B,80,C,1785,D
359646704867784,iPhone 13 Pro Max,GRAPHITE,785,D,610,D,75,C,75,C,75,C,80,C,1700,D
